"Student_ID","High_School_GPA","SAT_Score","University_Ranking","University_GPA","Field_of_Study"
"S01233",2.73,1428,267,2.42,"Computer Science"
"S01234",3.69,1039,794,2.08,"Computer Science"
"S01235",2.84,1177,149,3.74,"Business"
"S01236",2.88,1562,194,3.5,"Computer Science"
"S01237",3.27,1410,680,2.46,"Mathematics"
"S01238",3.55,1245,824,3.97,"Law"
"S01239",2.07,1039,886,3,"Computer Science"
"S01240",3.19,1013,179,3.9,"Engineering"
"S01241",2.37,1479,148,3.01,"Engineering"
"S01242",2.69,1406,465,2.94,"Business"
"S01243",2.7,1265,976,2.9,"Arts"
"S01244",2.94,1590,569,2.67,"Arts"
"S01245",2.67,1536,5,3.07,"Engineering"
"S01246",2.21,1296,526,2.91,"Law"
"S01247",2.29,1558,280,2.07,"Medicine"
"S01248",2.07,1010,499,2.52,"Mathematics"
"S01249",2.94,1257,836,2.43,"Mathematics"
"S01250",3.91,1137,436,3.73,"Mathematics"
"S01251",2.23,902,816,3.2,"Law"
"S01252",3.89,1303,216,3.53,"Engineering"
"S01253",3.47,924,687,3.91,"Mathematics"
"S01254",3.27,1408,828,3.29,"Law"
"S01255",3.29,1595,969,3.97,"Medicine"
"S01256",3.65,1364,515,2.62,"Arts"
"S01257",2.21,960,887,2.37,"Engineering"
"S01258",3.01,1407,137,2.81,"Computer Science"
"S01259",3.39,1022,978,2.94,"Mathematics"
"S01260",3.17,1396,612,3.79,"Medicine"
"S01261",3.67,954,595,3.12,"Medicine"
"S01262",2.14,1062,280,2.58,"Medicine"
"S01263",3.38,1598,132,3.49,"Arts"
"S01264",3.07,938,393,3.01,"Law"
"S01265",2.76,1596,481,2.32,"Business"
"S01266",2.68,982,513,3.15,"Mathematics"
"S01267",3.24,1445,628,3.82,"Computer Science"
"S01268",3.78,1012,419,3.69,"Mathematics"
"S01269",2.99,1324,202,3.17,"Engineering"
"S01270",3.65,1129,652,2.75,"Law"
"S01271",2.8,1182,658,2.17,"Medicine"
"S01272",2.2,1186,462,2.94,"Mathematics"
"S01273",2.12,1054,778,3.5,"Arts"
"S01274",2.1,1064,202,2.72,"Medicine"
"S01275",2.76,1081,914,2.47,"Law"
"S01276",2.67,1138,152,3.86,"Engineering"
"S01277",3.44,1548,897,3.64,"Computer Science"
"S01278",3.49,1238,222,3.28,"Medicine"
"S01279",2.1,1411,79,2.27,"Mathematics"
"S01280",2.44,1165,200,2.29,"Mathematics"
"S01281",2.55,1086,762,2.21,"Arts"
"S01282",3.1,939,99,3.23,"Arts"
"S01283",2.29,1392,978,2.23,"Business"
"S01284",2.27,1578,912,3.69,"Arts"
"S01285",3.89,1290,213,3.99,"Business"
"S01286",3.61,1159,143,2.73,"Computer Science"
"S01287",2.36,1554,702,2.91,"Engineering"
"S01288",2.81,1075,389,3.42,"Business"
"S01289",2.71,1228,813,3.87,"Medicine"
"S01290",3.58,1099,374,3.79,"Law"
"S01291",3.02,1095,52,2.12,"Mathematics"
"S01292",2.26,1488,967,2.34,"Medicine"
"S01293",3.48,1430,624,3.51,"Mathematics"
"S01294",2.79,961,135,3.38,"Engineering"
"S01295",2.53,1226,411,2.27,"Arts"
"S01296",2.75,1180,985,3,"Law"
"S01297",3,1126,470,3.56,"Medicine"
"S01298",2.69,1538,112,2.44,"Law"
"S01299",2.48,957,525,3.74,"Business"
"S01300",2.8,1376,785,2.11,"Engineering"
"S01301",2.04,1275,745,3.56,"Medicine"
"S01302",3.54,1142,44,3.23,"Arts"
"S01303",2.34,1266,397,2.63,"Law"
"S01304",2.09,1399,986,3.44,"Arts"
"S01305",3.31,1151,585,3.56,"Law"
"S01306",3.55,1221,261,3.87,"Medicine"
"S01307",3.63,1275,743,2.74,"Engineering"
"S01308",2.99,1308,545,3.37,"Computer Science"
"S01309",2.41,1387,388,3.21,"Medicine"
"S01310",3.47,1242,476,3.05,"Arts"
"S01311",3.4,1139,410,3.78,"Computer Science"
"S01312",2.49,1038,580,2.01,"Engineering"
"S01313",3.81,1021,16,2.56,"Arts"
"S01314",2.21,1319,997,3.08,"Engineering"
"S01315",3.97,1460,662,2.36,"Law"
"S01316",3.72,1203,804,3.82,"Medicine"
"S01317",3.38,1014,102,3.3,"Engineering"
"S01318",3.88,1242,186,2.96,"Arts"
"S01319",3.44,1150,951,3.63,"Medicine"
"S01320",2.38,906,931,2.9,"Mathematics"
"S01321",2.88,1488,25,3.12,"Arts"
"S01322",2.14,1078,72,2.01,"Arts"
"S01323",2.78,1044,593,2.73,"Mathematics"
"S01324",3.48,1315,573,2.28,"Mathematics"
"S01325",2.77,1565,18,3.38,"Computer Science"
"S01326",2.66,1020,754,2.96,"Business"
"S01327",3.19,1023,570,2.6,"Engineering"
"S01328",3.74,1049,332,2.94,"Engineering"
"S01329",2.1,1296,889,2.42,"Computer Science"
"S01330",2.77,1280,569,3.85,"Law"
"S01331",2.32,900,97,2.11,"Engineering"
"S01332",3.39,1572,727,3.73,"Mathematics"
"S01333",2.21,1143,831,3.02,"Computer Science"
"S01334",3.33,1297,12,3.24,"Engineering"
"S01335",2.57,1150,11,2.61,"Engineering"
"S01336",2.4,1475,909,3.93,"Arts"
"S01337",3.87,1198,163,2.56,"Computer Science"
"S01338",2.04,1196,283,3.18,"Mathematics"
"S01339",2.88,1399,729,3.99,"Law"
"S01340",2.04,1014,872,3.76,"Engineering"
"S01341",2.97,900,835,3.07,"Law"
"S01342",3,1452,241,3.98,"Business"
"S01343",2.64,1584,857,3.4,"Computer Science"
"S01344",2.26,1499,45,2.42,"Computer Science"
"S01345",2.75,1381,970,2.81,"Computer Science"
"S01346",3.34,1509,593,2.67,"Mathematics"
"S01347",3.56,1499,255,2.69,"Mathematics"
"S01348",3.06,1409,67,3.52,"Arts"
"S01349",3.18,1234,918,3.17,"Computer Science"
"S01350",2.4,1364,614,2.08,"Arts"
"S01351",2.57,1040,974,3.75,"Mathematics"
"S01352",2.32,1482,603,2.59,"Business"
"S01353",2.5,1036,42,3.99,"Medicine"
"S01354",2.45,1510,788,3.91,"Arts"
"S01355",3.04,1562,816,3.88,"Engineering"
"S01356",3.13,1586,786,3.62,"Computer Science"
"S01357",3.89,1066,384,2.44,"Medicine"
"S01358",2.39,1242,589,3.07,"Arts"
"S01359",3.28,1309,234,2.45,"Law"
"S01360",3.63,964,966,2.52,"Mathematics"
"S01361",3.12,1480,714,3.22,"Law"
"S01362",2.51,966,485,2.08,"Engineering"
"S01363",2.53,1332,733,3.94,"Medicine"
"S01364",2.08,949,774,3.84,"Business"
"S01365",2.61,1213,39,2.76,"Arts"
"S01366",3.49,1208,11,3.03,"Law"
"S01367",2.1,1502,624,2.93,"Law"
"S01368",2.44,1014,409,3.76,"Arts"
"S01369",3.41,1468,108,3.38,"Law"
"S01370",3.57,1241,94,2.56,"Business"
"S01371",2.91,1429,823,2.89,"Law"
"S01372",3.4,1541,84,2.86,"Arts"
"S01373",2.78,1394,58,3.92,"Computer Science"
"S01374",2.32,1168,293,2.35,"Law"
"S01375",2.8,979,16,2.18,"Arts"
"S01376",3.16,1355,991,3.76,"Computer Science"
"S01377",3.9,1198,477,3.79,"Law"
"S01378",2.14,1101,838,3.74,"Law"
"S01379",3.01,1402,605,3.02,"Arts"
"S01380",2.66,1570,992,3.32,"Engineering"
"S01381",3.02,1548,969,3.13,"Engineering"
"S01382",2.05,1384,165,2.14,"Medicine"
"S01383",2.63,1484,437,3.19,"Engineering"
"S01384",3.64,1459,727,2.03,"Business"
"S01385",3.11,917,656,2.65,"Medicine"
"S01386",2.9,1377,786,3.86,"Engineering"
"S01387",2.57,1387,403,2.61,"Computer Science"
"S01388",2.6,1345,940,3.88,"Mathematics"
"S01389",2.77,1239,386,2.5,"Arts"
"S01390",3.67,1430,954,2.63,"Engineering"
"S01391",3.93,1511,138,3.26,"Computer Science"
"S01392",2.88,1015,716,3.52,"Mathematics"
"S01393",2.79,973,814,3,"Medicine"
"S01394",3.69,1168,722,3.76,"Arts"
"S01395",2.85,1536,531,2.08,"Engineering"
"S01396",3.1,1015,806,3.84,"Medicine"
"S01397",2.46,1585,293,2.39,"Engineering"
"S01398",3.49,1592,475,3.77,"Medicine"
"S01399",3.06,1568,880,2.8,"Engineering"
"S01400",3.62,1063,462,3.67,"Mathematics"
"S01401",3.56,1482,813,3.34,"Computer Science"
"S01402",2.43,1121,373,2.35,"Business"
"S01403",3.43,1025,162,3.84,"Mathematics"
"S01404",3.6,1556,642,2.49,"Computer Science"
"S01405",2.69,1075,44,2.49,"Arts"
"S01406",2.35,1563,865,3.63,"Engineering"
"S01407",2.01,1593,83,2.21,"Business"
"S01408",2.9,1274,892,2.44,"Mathematics"
"S01409",2.7,1397,636,3.01,"Business"
"S01410",3.11,984,539,3.66,"Arts"
"S01411",2.38,1282,816,2.29,"Arts"
"S01412",3.72,1532,862,3.1,"Business"
"S01413",2.52,1540,519,3.42,"Arts"
"S01414",2.45,1362,411,3.72,"Arts"
"S01415",2.96,1350,341,3.87,"Engineering"
"S01416",3,1417,711,3.57,"Computer Science"
"S01417",2.43,1594,624,3.31,"Law"
"S01418",2.54,1449,89,2.87,"Medicine"
"S01419",2.34,1015,640,2.22,"Business"
"S01420",3.44,1513,230,3.42,"Medicine"
"S01421",3.54,907,18,3.99,"Business"
"S01422",2.92,1117,801,3.47,"Business"
"S01423",3.43,1489,673,2.03,"Computer Science"
"S01424",3.47,1303,864,2.99,"Mathematics"
"S01425",2.28,1466,890,3.23,"Mathematics"
"S01426",3.93,1203,281,3.38,"Business"
"S01427",3.64,1366,910,3.44,"Business"
"S01428",2.41,987,422,3.12,"Computer Science"
"S01429",2.37,909,678,2.45,"Arts"
"S01430",2.25,1207,772,3.88,"Mathematics"
"S01431",2.28,1333,876,3.39,"Law"
"S01432",3.5,1063,702,2.47,"Medicine"
"S01433",2.94,1138,338,2.64,"Business"
"S01434",3.57,1216,266,3.84,"Computer Science"
"S01435",3.49,1555,803,3.77,"Business"
"S01436",3.21,1234,355,2.81,"Mathematics"
"S01437",3.37,917,360,2.08,"Computer Science"
"S01438",2.04,970,791,2.1,"Medicine"
"S01439",2.62,1074,217,2.57,"Engineering"
"S01440",3.28,1238,321,3.26,"Mathematics"
"S01441",2.02,1147,850,3.17,"Arts"
"S01442",2.07,1092,719,3.27,"Engineering"
"S01443",3.7,1318,665,3.43,"Computer Science"
"S01444",3.37,1224,992,2.04,"Business"
"S01445",2.53,1205,693,2.21,"Arts"
"S01446",3.38,1103,212,2.72,"Mathematics"
"S01447",3.58,1022,785,2.31,"Medicine"
"S01448",2.61,1469,953,2.15,"Mathematics"
"S01449",2.07,1346,203,3.28,"Law"
"S01450",3.87,1390,717,3.63,"Arts"
"S01451",2.69,1332,985,3.51,"Business"
"S01452",2.21,1523,916,3.63,"Engineering"
"S01453",2.98,1027,896,3.33,"Computer Science"
"S01454",3.54,1447,153,3.47,"Engineering"
"S01455",2.44,946,682,2.54,"Mathematics"
"S01456",2.54,1404,429,3.99,"Arts"
"S01457",2.49,1014,753,2.37,"Law"
"S01458",3.98,1315,287,2.43,"Business"
"S01459",2.39,1122,757,2.58,"Computer Science"
"S01460",3.15,1535,321,3.95,"Business"
"S01461",3.85,1402,436,3.98,"Business"
"S01462",2.29,1571,592,3.59,"Law"
"S01463",3.94,995,496,3.26,"Arts"
"S01464",3.89,1006,604,3.04,"Engineering"
"S01465",3.77,1531,149,3.94,"Business"
"S01466",2.43,1512,542,3.39,"Mathematics"
"S01467",3.27,1514,635,3.89,"Mathematics"
"S01468",3.52,1577,899,2.63,"Business"
"S01469",3.97,1597,482,2.67,"Business"
"S01470",2.36,931,326,3.71,"Computer Science"
"S01471",3.53,1392,939,2.3,"Business"
"S01472",2.68,965,29,3.89,"Mathematics"
"S01473",2.35,1078,259,3.01,"Business"
"S01474",2.84,1342,698,3.85,"Arts"
"S01475",3.59,1448,929,2.67,"Mathematics"
"S01476",2.93,1100,75,3.43,"Business"
"S01477",3.08,948,557,2.97,"Law"
"S01478",3.99,1579,581,3.25,"Law"
"S01479",2.8,1162,498,3.01,"Mathematics"
"S01480",3.23,1032,416,3.93,"Business"
"S01481",2.73,1243,879,3.38,"Law"
"S01482",2.79,1075,722,2.5,"Arts"
"S01483",3.39,1290,751,3.82,"Computer Science"
"S01484",3.88,910,340,2.59,"Law"
"S01485",3.08,1100,308,2.74,"Mathematics"
"S01486",3.54,902,704,2.2,"Law"
"S01487",2.18,1113,884,3.8,"Engineering"
"S01488",2.42,1206,615,2.57,"Arts"
"S01489",3,1443,241,2.52,"Law"
"S01490",2.04,1459,253,3.84,"Computer Science"
"S01491",2.51,1226,936,3.61,"Engineering"
"S01492",3.03,1098,220,2.28,"Mathematics"
"S01493",2.03,1500,397,3.54,"Mathematics"
"S01494",2.53,1008,986,3.83,"Business"
"S01495",3.03,1190,336,2.16,"Arts"
"S01496",3.15,1007,729,3.65,"Law"
"S01497",3.85,1307,714,3.09,"Business"
"S01498",3.29,1451,29,3.34,"Arts"
"S01499",2.83,951,494,2.99,"Mathematics"
"S01500",3.86,1011,959,3.4,"Engineering"
"S01501",3.57,1194,998,2.07,"Law"
"S01502",2.4,1479,724,3.53,"Mathematics"
"S01503",2.26,1088,502,2.07,"Computer Science"
"S01504",3.35,964,154,2.91,"Arts"
"S01505",3.12,1473,992,2.3,"Mathematics"
"S01506",3.58,1364,231,3.65,"Mathematics"
"S01507",3.48,1157,102,2.63,"Computer Science"
"S01508",3.25,1545,827,2.91,"Business"
"S01509",3.97,1533,177,2.86,"Mathematics"
"S01510",3.07,1230,693,3.55,"Business"
"S01511",2.23,1400,984,2.96,"Engineering"
"S01512",3.66,1582,927,3.58,"Engineering"
"S01513",2.5,1109,232,2.15,"Medicine"
"S01514",3.55,988,12,2.38,"Medicine"
"S01515",3.91,1578,186,3.1,"Engineering"
"S01516",3.39,927,761,3.89,"Law"
"S01517",3.19,1137,932,2.15,"Business"
"S01518",2.92,1235,266,2.09,"Computer Science"
"S01519",2.73,962,902,2.31,"Mathematics"
"S01520",2.71,1452,135,3.28,"Mathematics"
"S01521",3.27,1399,757,2.8,"Engineering"
"S01522",3.5,1440,31,3.65,"Law"
"S01523",3.36,1368,859,2.14,"Computer Science"
"S01524",2.4,1491,456,2.39,"Medicine"
"S01525",2.99,950,259,2.6,"Computer Science"
"S01526",3.58,1011,104,3.25,"Engineering"
"S01527",2.95,1200,431,3.37,"Business"
"S01528",3.07,989,382,2.25,"Engineering"
"S01529",3.54,1128,469,3.89,"Mathematics"
"S01530",3.32,1049,513,2.68,"Mathematics"
"S01531",2.82,1037,941,3.43,"Arts"
"S01532",3.79,1034,950,3.05,"Law"
"S01533",2.33,1356,946,2.45,"Law"
"S01534",3.99,1500,207,3.69,"Law"
"S01535",2.24,1393,647,3.64,"Arts"
"S01536",2.03,1426,447,2.79,"Arts"
"S01537",3.78,1232,783,3.18,"Business"
"S01538",2.49,1261,89,2.52,"Law"
"S01539",3.46,1073,195,3.38,"Engineering"
"S01540",3.62,1501,414,2.62,"Arts"
"S01541",3.72,1112,122,3.69,"Engineering"
"S01542",3.98,1242,462,2.43,"Medicine"
"S01543",2.59,960,116,2.03,"Law"
"S01544",3.42,960,196,2.54,"Arts"
"S01545",2.23,1577,36,2.38,"Arts"
"S01546",2.81,1423,67,3.02,"Business"
"S01547",3.7,1115,645,2.41,"Engineering"
"S01548",2.74,1488,281,3.53,"Business"
"S01549",3.18,1523,479,2.48,"Business"
"S01550",3.01,1477,11,3.41,"Engineering"
"S01551",3.29,1593,968,3.16,"Medicine"
"S01552",3.95,1322,730,3.97,"Engineering"
"S01553",2.11,1322,322,4,"Medicine"
"S01554",3.15,1270,668,3.74,"Business"
"S01555",3.73,1105,240,3.52,"Medicine"
"S01556",2.96,1185,60,2.77,"Law"
"S01557",2.16,1004,650,3.51,"Medicine"
"S01558",3.12,1587,562,3.91,"Medicine"
"S01559",2.66,1442,679,2.05,"Arts"
"S01560",2.31,1141,165,3.08,"Arts"
"S01561",3.7,1390,831,2.44,"Mathematics"
"S01562",3.04,1564,189,3.12,"Business"
"S01563",3.87,1397,487,2.93,"Engineering"
"S01564",3.61,1334,981,3.15,"Medicine"
"S01565",3.39,1383,92,3.1,"Law"
"S01566",2.01,1346,806,3.92,"Arts"
"S01567",2.86,1283,888,3.1,"Engineering"
"S01568",2.39,1409,289,3.69,"Law"
"S01569",3.82,1069,509,2.64,"Medicine"
"S01570",2.35,1222,75,2.88,"Engineering"
"S01571",2.57,1373,557,2.94,"Mathematics"
"S01572",3.03,1131,428,2.56,"Law"
"S01573",2.53,1595,385,2.76,"Computer Science"
"S01574",2.42,1258,53,3.2,"Law"
"S01575",3.2,1174,175,3.16,"Law"
"S01576",2.18,931,673,3.27,"Medicine"
"S01577",2.12,1076,579,2.7,"Engineering"
"S01578",2.74,964,474,2.63,"Medicine"
"S01579",3.44,926,911,3.22,"Medicine"
"S01580",3.11,1562,361,2.27,"Computer Science"
"S01581",2.85,1378,270,2.51,"Mathematics"
"S01582",3.13,1167,407,2.08,"Law"
"S01583",2.73,1496,124,2.15,"Engineering"
"S01584",3.87,965,694,2.49,"Mathematics"
"S01585",2.11,1032,376,2.04,"Business"
"S01586",3.35,1265,392,2.49,"Arts"
"S01587",3.78,981,182,3.31,"Mathematics"
"S01588",3.61,1227,36,2.12,"Medicine"
"S01589",2.37,997,212,2.87,"Medicine"
"S01590",2.59,1484,896,3.83,"Medicine"
"S01591",3.43,1226,948,3.58,"Medicine"
"S01592",2.17,1441,134,2.61,"Arts"
"S01593",3.62,1024,865,3.85,"Business"
"S01594",3.44,1109,924,2.66,"Computer Science"
"S01595",3.46,1032,690,2.15,"Business"
"S01596",2.2,1402,678,3.99,"Arts"
"S01597",3.44,1056,926,3.74,"Engineering"
"S01598",3.36,1458,491,2.93,"Computer Science"
"S01599",3.66,1281,849,3.33,"Computer Science"
"S01600",2.08,921,841,3.34,"Engineering"
"S01601",2.05,1494,988,2.39,"Law"
"S01602",2.75,1318,438,2.4,"Medicine"
"S01603",2.3,1371,839,2.94,"Arts"
"S01604",3.12,1133,46,3.82,"Engineering"
"S01605",3.83,1471,668,2.02,"Business"
"S01606",2.78,1353,401,3.57,"Business"
"S01607",3.69,1599,488,2.12,"Law"
"S01608",2,1469,432,2.96,"Engineering"
"S01609",2.34,1061,428,3.28,"Arts"
"S01610",2.06,1200,748,3.37,"Law"
"S01611",2.66,1205,828,2.12,"Law"
"S01612",3.82,901,572,2.84,"Law"
"S01613",2.19,1170,517,3.17,"Computer Science"
"S01614",3.21,1320,965,2.13,"Computer Science"
"S01615",2.9,1042,462,2.27,"Medicine"
"S01616",3.88,1599,966,3.33,"Arts"
"S01617",2.25,1591,903,3.04,"Business"
"S01618",2.42,1434,181,2.32,"Business"
"S01619",2.06,936,145,3.07,"Medicine"
"S01620",2.87,1006,827,3.83,"Business"
"S01621",2.56,1196,265,2.03,"Law"
"S01622",3.74,996,735,3.29,"Medicine"
"S01623",3.21,1180,406,2.15,"Medicine"
"S01624",3.23,1009,813,2.01,"Engineering"
"S01625",3.06,1448,969,2.3,"Computer Science"
"S01626",2.18,1451,955,2.85,"Arts"
"S01627",2.89,1496,848,3.6,"Arts"
"S01628",4,1087,484,2.56,"Computer Science"
"S01629",3.67,1387,482,3.25,"Law"
"S01630",3.79,1253,237,2.82,"Arts"
"S01631",3.65,918,525,2.47,"Business"
"S01632",2.21,1292,339,3.03,"Business"
"S01633",2.45,1160,268,3.59,"Arts"
"S01634",2.01,1309,932,3.66,"Mathematics"
"S01635",2.61,1302,266,3.69,"Mathematics"
"S01636",2.22,1569,528,2.68,"Engineering"
"S01637",2.95,1383,92,3.59,"Arts"
"S01638",3.35,1203,248,2.42,"Medicine"
"S01639",3.75,1523,19,3.48,"Law"
"S01640",3.5,1555,872,3.9,"Medicine"
"S01641",3.88,917,390,2.03,"Computer Science"
"S01642",2.11,1083,388,2.88,"Law"
"S01643",2.02,1304,926,3.3,"Law"
"S01644",3.32,1030,615,3.4,"Business"
"S01645",2.58,1378,95,2.35,"Law"
"S01646",2.51,907,430,3.94,"Engineering"
"S01647",2.66,1217,795,3.23,"Arts"
"S01648",2.54,1290,941,2.33,"Medicine"
"S01649",3.02,1418,725,2.04,"Business"
"S01650",2.88,1035,37,3.57,"Mathematics"
"S01651",3.02,1430,393,2.16,"Business"
"S01652",3.35,1550,573,2.28,"Engineering"
"S01653",2.77,1266,291,3.15,"Engineering"
"S01654",2.5,1388,874,3.21,"Engineering"
"S01655",2.33,1588,303,3.37,"Engineering"
"S01656",2.7,910,756,2.79,"Mathematics"
"S01657",3.48,1452,917,3.55,"Medicine"
"S01658",3.51,1345,401,3.95,"Engineering"
"S01659",3.33,1013,823,2.54,"Business"
"S01660",2.47,1591,344,3.41,"Business"
"S01661",3.18,1095,863,3.86,"Mathematics"
"S01662",3.14,1222,518,3.37,"Law"
"S01663",2.97,1411,377,3.36,"Arts"
"S01664",3.1,1527,931,2.45,"Business"
"S01665",2.98,1561,818,3.07,"Business"
"S01666",3.13,1529,165,3.13,"Mathematics"
"S01667",3.43,1064,13,3.4,"Medicine"
"S01668",2.22,1151,25,3.99,"Law"
"S01669",3.5,943,736,2.07,"Business"
"S01670",2.27,1369,123,2.13,"Computer Science"
"S01671",2.13,1388,129,2.16,"Business"
"S01672",3.95,1080,817,3.49,"Arts"
"S01673",3.91,976,634,2.27,"Arts"
"S01674",2.12,1273,547,3.24,"Law"
"S01675",2.89,1527,595,2.65,"Law"
"S01676",2.37,966,309,2.91,"Engineering"
"S01677",2.97,1424,436,2.43,"Medicine"
"S01678",3.66,991,182,3.73,"Arts"
"S01679",3.9,1550,588,3.17,"Computer Science"
"S01680",3.27,1143,616,3.89,"Computer Science"
"S01681",2.71,1240,744,3.15,"Engineering"
"S01682",3.21,1203,815,2.25,"Medicine"
"S01683",2.62,1297,43,2.34,"Medicine"
"S01684",3.82,1347,404,3.98,"Law"
"S01685",3.74,996,929,3.45,"Business"
"S01686",3.12,1230,605,2.1,"Computer Science"
"S01687",2.65,1104,656,3.41,"Computer Science"
"S01688",2.59,1348,766,2.82,"Mathematics"
"S01689",2.07,1317,590,2.61,"Computer Science"
"S01690",3.63,1548,263,2.31,"Computer Science"
"S01691",2.9,976,70,3.68,"Mathematics"
"S01692",2.65,1448,661,2.13,"Arts"
"S01693",2.94,1324,292,2.58,"Medicine"
"S01694",3.64,1328,214,2.61,"Business"
"S01695",2.25,1384,872,2.32,"Arts"
"S01696",3.72,1034,822,3.02,"Medicine"
"S01697",3.8,1553,147,2.02,"Engineering"
"S01698",3.89,1153,25,2.6,"Computer Science"
"S01699",2.79,1459,323,3.87,"Business"
"S01700",2.43,1154,996,2.62,"Medicine"
"S01701",2.75,1545,109,2.72,"Engineering"
"S01702",2.67,1398,693,2.95,"Computer Science"
"S01703",2.35,1512,251,3.12,"Engineering"
"S01704",3.21,1383,482,3.62,"Mathematics"
"S01705",2.95,945,715,2.38,"Engineering"
"S01706",3.73,1342,816,3.74,"Arts"
"S01707",2.06,1481,682,3.52,"Engineering"
"S01708",3.29,1547,175,3.45,"Arts"
"S01709",3.53,1478,347,2.17,"Law"
"S01710",3.52,903,170,2.04,"Arts"
"S01711",3.77,900,2,3.19,"Mathematics"
"S01712",3.46,1189,646,3.73,"Mathematics"
"S01713",3.86,1008,639,3.17,"Engineering"
"S01714",2.67,1474,558,2.43,"Medicine"
"S01715",3.01,1359,706,2.18,"Engineering"
"S01716",2.03,1165,362,3.4,"Engineering"
"S01717",2.01,1037,721,3.44,"Medicine"
"S01718",2.48,1333,296,2.35,"Computer Science"
"S01719",2.2,943,570,2.06,"Business"
"S01720",2.52,1409,590,2.82,"Law"
"S01721",2.35,1161,202,3.17,"Computer Science"
"S01722",2.06,1532,289,3.41,"Engineering"
"S01723",3.82,1051,62,3.62,"Computer Science"
"S01724",2.02,1112,502,3.22,"Business"
"S01725",3.47,1133,780,2.22,"Mathematics"
"S01726",2.3,1522,126,3.37,"Computer Science"
"S01727",3.82,1260,992,3.97,"Business"
"S01728",3.79,1219,49,3.81,"Computer Science"
"S01729",3.31,1121,600,3.74,"Arts"
"S01730",3.34,1109,846,2.6,"Engineering"
"S01731",2.01,1295,773,3.5,"Business"
"S01732",3.97,1482,179,3.7,"Law"
"S01733",3.76,1388,581,3.36,"Engineering"
"S01734",3.79,1500,879,2.5,"Arts"
"S01735",3.32,1363,928,3.91,"Mathematics"
"S01736",2.69,1599,493,2.9,"Computer Science"
"S01737",3.79,1523,433,2.26,"Engineering"
"S01738",2.58,1351,993,2.22,"Computer Science"
"S01739",3.13,1312,572,3.3,"Computer Science"
"S01740",2.2,1375,302,2.88,"Engineering"
"S01741",3.84,1155,964,2.19,"Business"
"S01742",2.28,1049,761,3.48,"Business"
"S01743",2.45,1026,990,3.6,"Engineering"
"S01744",3.12,1291,169,3.45,"Business"
"S01745",3.53,1379,977,2.4,"Medicine"
"S01746",3.24,1296,963,3.38,"Computer Science"
"S01747",2.46,1301,269,2.02,"Engineering"
"S01748",2,1173,364,2.61,"Law"
"S01749",3.51,1038,624,2.8,"Arts"
"S01750",3.97,1002,100,3.67,"Mathematics"
"S01751",3.62,1141,914,2.78,"Engineering"
"S01752",2.92,1016,215,2.02,"Engineering"
"S01753",3.81,1113,995,2.7,"Computer Science"
"S01754",2.82,1383,625,3,"Arts"
"S01755",3.05,1428,97,3.9,"Computer Science"
"S01756",2.95,1590,819,3.88,"Law"
"S01757",2.9,1123,630,2.36,"Mathematics"
"S01758",3.55,1169,548,2.37,"Business"
"S01759",3.05,1033,337,2.33,"Engineering"
"S01760",2.63,1013,359,3.58,"Computer Science"
"S01761",2.52,1340,290,2.01,"Mathematics"
"S01762",2.08,1543,396,2.25,"Law"
"S01763",3.17,1550,901,3.08,"Law"
"S01764",2.46,1264,816,2.5,"Mathematics"
"S01765",2.3,1131,360,2.18,"Medicine"
"S01766",3.31,1357,347,2.72,"Engineering"
"S01767",3.36,1274,124,2.55,"Law"
"S01768",3.5,1503,552,3.02,"Mathematics"
"S01769",3.01,1510,653,3.96,"Business"
"S01770",3.79,1106,538,2.25,"Computer Science"
"S01771",3.87,1419,654,2.75,"Computer Science"
"S01772",3.61,1367,864,3.86,"Medicine"
"S01773",3.27,1342,907,3.75,"Business"
"S01774",2.61,1220,422,2.79,"Law"
"S01775",3.97,992,336,3.4,"Mathematics"
"S01776",2.55,1307,503,2.18,"Medicine"
"S01777",2.41,1057,57,3.43,"Law"
"S01778",2.88,998,662,3.95,"Law"
"S01779",2.11,1124,879,3.07,"Engineering"
"S01780",3.96,1340,912,3,"Arts"
"S01781",3.18,1484,717,2.37,"Mathematics"
"S01782",3.11,1300,76,3.27,"Law"
"S01783",3.31,1470,466,3.18,"Computer Science"
"S01784",2.99,963,285,3.3,"Law"
"S01785",2.06,1459,722,2.05,"Medicine"
"S01786",3.22,1178,386,3.1,"Mathematics"
"S01787",3.43,1569,950,3.19,"Law"
"S01788",2.83,1418,770,2.42,"Mathematics"
"S01789",3.51,1147,259,2.42,"Computer Science"
"S01790",2.45,1267,477,2.55,"Computer Science"
"S01791",2.44,1517,696,3.42,"Medicine"
"S01792",2.32,997,840,3.21,"Computer Science"
"S01793",2.74,1167,11,3.69,"Business"
"S01794",3.69,959,972,2.59,"Business"
"S01795",3.66,1399,672,3.82,"Arts"
"S01796",2.77,1207,260,3.49,"Mathematics"
"S01797",3.18,1392,393,2.79,"Business"
"S01798",3.44,1310,600,2.19,"Medicine"
"S01799",2.48,1039,369,2.51,"Law"
"S01800",2.34,1227,184,3.91,"Business"
"S01801",3.94,1363,16,2.62,"Arts"
"S01802",3.24,1536,977,2.66,"Mathematics"
"S01803",3.96,1062,756,2.38,"Engineering"
"S01804",2.68,959,506,3.61,"Engineering"
